Job_ID,Job_Title,Experience_Level,Years_Experience_Required,Company,Industry,Location,Remote,Employment_Type,Required_Skills,Company_Size,Salary_USD,Applicants_Count,Date_Posted
JOB00018,Data Scientist,Mid,3.0,Skyline Data Co,Technology,"Berlin, Germany",Yes,Full-time,"Machine Learning, SQL, Power BI, NLP, Computer Vision",201-1000,98000.0,25,2025-09-26
JOB00019,AI Engineer,Mid,3.0,Bluewave Tech,Consulting,Remote,Yes,Full-time,"PyTorch, SQL, TensorFlow",5000+,100000.0,42,2026-07-08
JOB00020,VP of Machine Learning,Manager,10.0,Vertex Analytics,Manufacturing,"Austin, USA",No,Contract,"Statistics, GCP, LLMs, AWS, A/B Testing",1001-5000,302000.0,40,2026-07-09
JOB00021,AI Research Assistant,Entry,0.0,Nexora AI,E-commerce,"Toronto, Canada",No,Full-time,"Statistics, Data Visualization, Tableau, SQL, Python",1-50,80500.0,25,2026-05-04
JOB00022,Computer Vision Engineer,Mid,3.0,Fusion Analytics,Automotive,"Dublin, Ireland",No,Full-time,"Deep Learning, Power BI, PyTorch, Machine Learning, AWS",1-50,116000.0,72,2025-09-10
JOB00023,NLP Engineer,Mid,3.0,Silverline AI,Manufacturing,"Austin, USA",No,Full-time,"PyTorch, Python, Spark, Power BI, Machine Learning, Generative AI",201-1000,102500.0,46,2025-09-03
JOB00024,Analytics Engineer,Mid,3.0,Nexora AI,Manufacturing,"Dublin, Ireland",No,Full-time,"Deep Learning, Python, TensorFlow, R",1001-5000,103000.0,104,2026-02-01
JOB00025,Data Engineer,Mid,3.0,Atlas Intelligence,Healthcare,"Austin, USA",No,Full-time,"Spark, TensorFlow, PyTorch",1001-5000,127500.0,61,2025-07-13
JOB00026,Analytics Engineer,Mid,3.0,Horizon Cloud,Healthcare,"San Francisco, USA",No,Full-time,"Python, Power BI, TensorFlow",5000+,143500.0,34,2025-09-03
JOB00027,Director of Data Science,Manager,10.0,Ironpeak Tech,Consulting,"Bengaluru, India",Yes,Full-time,"A/B Testing, GCP, Generative AI, PyTorch",1-50,143500.0,97,2025-10-01
JOB00028,Junior Data Scientist,Entry,0.0,Atlas Intelligence,E-commerce,"Sydney, Australia",Yes,Part-time,"Python, Statistics, Data Visualization, SQL",51-200,66000.0,8,2026-03-16
JOB00029,Computer Vision Engineer,Mid,3.0,Vertex Analytics,Technology,"Bengaluru, India",No,Contract,"Machine Learning, Spark, Python, Excel",5000+,50500.0,22,2026-04-17
JOB00030,Machine Learning Engineer,Mid,3.0,Bright Path AI,Manufacturing,"Dublin, Ireland",Yes,Full-time,"AWS, NLP, Machine Learning, Airflow",51-200,95500.0,24,2025-09-18
JOB00031,Data Engineer,Mid,3.0,Skyline Data Co,Education,"Sydney, Australia",No,Full-time,"Machine Learning, PyTorch, SQL, Deep Learning, Power BI",51-200,139000.0,11,2026-04-06
JOB00032,NLP Engineer,Mid,3.0,Vertex Analytics,Education,"Dublin, Ireland",Yes,Full-time,"Spark, Deep Learning, SQL, Machine Learning, Power BI",51-200,108000.0,36,2025-12-06
JOB00033,ML Engineer I,Entry,0.0,Orbital Systems,Education,"Sydney, Australia",No,Full-time,"Statistics, Excel, Python",51-200,87500.0,29,2025-12-14
JOB00034,Senior ML Engineer,Senior,6.0,Meridian Software,Finance,"Toronto, Canada",Yes,Full-time,"GCP, Azure, Machine Learning, AWS, Computer Vision",51-200,141000.0,96,2025-08-08
JOB00035,Analytics Engineer,Mid,3.0,Bluewave Tech,Automotive,"Sydney, Australia",Yes,Full-time,"SQL, Deep Learning, AWS, LLMs",1-50,129000.0,7,2026-06-27
JOB00036,AI Engineer,Mid,3.0,Novacore AI,Education,"Sydney, Australia",No,Full-time,"Deep Learning, AWS, Python",201-1000,109000.0,144,2025-10-24
JOB00037,Data Analyst,Entry,0.0,Vertex Analytics,Telecommunications,"New York, USA",No,Full-time,"SQL, Data Visualization, Excel",5000+,71000.0,15,2026-01-24
JOB00038,AI Research Scientist,Senior,6.0,Fusion Analytics,Automotive,"London, UK",Yes,Full-time,"Machine Learning, LLMs, AWS, NLP, Kubernetes, Computer Vision",201-1000,161000.0,11,2026-05-20
JOB00039,BI Analyst,Entry,0.0,Bluewave Tech,Technology,Singapore,No,Full-time,"SQL, Python, Excel, Tableau, MLOps",1-50,64500.0,88,2025-10-19
JOB00040,Computer Vision Engineer,Mid,3.0,Horizon Cloud,Gaming,Remote,Yes,Full-time,"SQL, Deep Learning, PyTorch, Machine Learning, Python",201-1000,120000.0,29,2026-06-15
JOB00041,Data Engineer,Mid,3.0,Bright Path AI,Automotive,Singapore,Yes,Full-time,"AWS, Deep Learning, Spark, Python",201-1000,102500.0,86,2026-03-26
JOB00042,BI Analyst,Entry,0.0,Nexora AI,Healthcare,"Toronto, Canada",No,Full-time,"Tableau, Statistics, Python, SQL",51-200,78000.0,18,2026-07-02
JOB00044,Data Science Manager,Manager,10.0,Quantum Insight,Telecommunications,"London, UK",Yes,Full-time,"MLOps, Statistics, GCP, R",201-1000,329000.0,20,2026-06-14
JOB00045,Junior Data Scientist,Entry,0.0,Corelytics,Finance,"New York, USA",No,Full-time,"Excel, Tableau, SQL, Python, TensorFlow",5000+,72000.0,37,2026-06-14
JOB00046,Data Engineer I,Entry,0.0,Clearline Systems,E-commerce,"Dublin, Ireland",Yes,Full-time,"Python, Tableau, SQL",1-50,55000.0,71,2025-09-19
JOB00047,AI Engineer,Mid,3.0,Horizon Cloud,Telecommunications,"Bengaluru, India",Yes,Full-time,"Spark, Machine Learning, AWS",201-1000,44000.0,68,2026-06-08
JOB00048,Machine Learning Engineer,Mid,3.0,Atlas Intelligence,Gaming,"Berlin, Germany",No,Full-time,"NLP, AWS, Python",1001-5000,81500.0,94,2025-10-19
JOB00050,NLP Engineer,Mid,3.0,Horizon Cloud,Automotive,"London, UK",No,Full-time,"AWS, PyTorch, Power BI, Deep Learning",201-1000,133500.0,38,2025-09-14
JOB00051,Data Analyst,Entry,0.0,Skyline Data Co,E-commerce,Singapore,No,Full-time,"Data Visualization, Statistics, SQL, Excel, PyTorch",51-200,88500.0,32,2025-09-08
JOB00052,Head of Analytics,Manager,10.0,Fusion Analytics,Education,"New York, USA",Yes,Full-time,"Generative AI, Statistics, GCP, LLMs, MLOps",5000+,236500.0,27,2026-04-09
JOB00053,Junior Data Scientist,Entry,0.0,Bright Path AI,Gaming,"Dublin, Ireland",No,Full-time,"Excel, Statistics, Data Visualization, Tableau, SQL",201-1000,57500.0,66,2025-07-10
JOB00054,AI Research Scientist,Senior,6.0,Silverline AI,Finance,"San Francisco, USA",Yes,Full-time,"NLP, Kubernetes, Machine Learning, Computer Vision",5000+,183000.0,12,2026-06-02
JOB00055,Machine Learning Engineer,Mid,3.0,Northstar Labs,Technology,Singapore,Yes,Full-time,"PyTorch, Machine Learning, Spark, Deep Learning",51-200,140000.0,20,2026-05-14
JOB00056,AI Engineer,Mid,3.0,Novacore AI,Consulting,"Austin, USA",No,Full-time,"Deep Learning, Machine Learning, NLP, PyTorch, SQL, Azure",1-50,142000.0,91,2026-05-24
JOB00058,Computer Vision Engineer,Mid,3.0,Clearline Systems,Consulting,"Berlin, Germany",No,Full-time,"Deep Learning, AWS, NLP, Power BI, Machine Learning, R",201-1000,100000.0,83,2026-03-11
JOB00059,Lead Data Engineer,Senior,6.0,Atlas Intelligence,Healthcare,"New York, USA",Yes,Full-time,"Generative AI, Computer Vision, Machine Learning, NLP, GCP",5000+,168500.0,39,2026-04-02
JOB00060,Data Engineer,Mid,3.0,Fusion Analytics,E-commerce,"London, UK",No,Full-time,"Python, NLP, TensorFlow",5000+,115000.0,44,2025-08-10
JOB00062,AI Research Scientist,Senior,6.0,Quantum Insight,Technology,"Toronto, Canada",No,Full-time,"Kubernetes, Deep Learning, Azure",1-50,165000.0,4,2025-07-10
JOB00063,ML Engineer I,Entry,0.0,Vertex Analytics,E-commerce,Remote,Yes,Full-time,"SQL, Excel, Python, Statistics, Data Visualization",51-200,66000.0,6,2026-03-31
JOB00064,NLP Engineer,Mid,3.0,DataForge,Manufacturing,"Bengaluru, India",Yes,Full-time,"NLP, TensorFlow, PyTorch, AWS, Spark",51-200,61000.0,75,2026-06-22
JOB00065,Computer Vision Engineer,Mid,3.0,Meridian Software,Technology,"Toronto, Canada",Yes,Full-time,"SQL, AWS, TensorFlow, Python",1-50,115500.0,31,2026-01-09
JOB00066,Analytics Engineer,Mid,3.0,Quantum Insight,Healthcare,"Sydney, Australia",No,Full-time,"PyTorch, Machine Learning, TensorFlow, Power BI",1001-5000,112000.0,5,2025-10-24
JOB00067,Principal Data Scientist,Senior,6.0,Ironpeak Tech,Manufacturing,Singapore,No,Full-time,"Kubernetes, Deep Learning, Generative AI",51-200,179000.0,39,2026-01-02
JOB00068,Data Analyst,Entry,0.0,Bright Path AI,Telecommunications,"Dublin, Ireland",Yes,Full-time,"Data Visualization, Tableau, Python",51-200,79500.0,125,2026-01-02
JOB00069,NLP Engineer,Mid,3.0,Northstar Labs,Technology,"Bengaluru, India",Yes,Contract,"AWS, Power BI, NLP",1001-5000,56500.0,33,2026-06-06
JOB00070,Head of AI,Manager,10.0,DataForge,E-commerce,"Sydney, Australia",No,Full-time,"Statistics, MLOps, AWS",51-200,266000.0,54,2026-03-21
JOB00071,ML Engineer I,Entry,0.0,DataForge,Healthcare,"London, UK",Yes,Contract,"Python, Data Visualization, SQL, Statistics",201-1000,61500.0,116,2026-02-23
JOB00072,Staff AI Engineer,Senior,6.0,Clearline Systems,E-commerce,"Berlin, Germany",No,Full-time,"MLOps, Kubernetes, Generative AI, AWS",201-1000,132000.0,49,2025-10-22
JOB00073,AI Engineer,Mid,3.0,Novacore AI,Manufacturing,"New York, USA",No,Full-time,"SQL, TensorFlow, Python, Power BI, Machine Learning",1-50,148000.0,70,2025-07-19
JOB00074,Computer Vision Engineer,Mid,3.0,Pulse Robotics,Gaming,Singapore,No,Part-time,"Spark, Power BI, Deep Learning",1001-5000,125500.0,27,2026-07-10
JOB00075,Senior ML Engineer,Senior,6.0,Quantum Insight,Telecommunications,"Austin, USA",No,Full-time,"NLP, Machine Learning, AWS, Azure, Generative AI",1001-5000,176000.0,95,2026-04-24
JOB00076,Lead Data Engineer,Senior,6.0,Silverline AI,Automotive,"London, UK",No,Full-time,"Azure, AWS, Deep Learning, MLOps",51-200,166000.0,44,2026-04-10
JOB00077,Computer Vision Engineer,Mid,3.0,Novacore AI,Technology,"New York, USA",No,Full-time,"AWS, Power BI, Python",201-1000,112500.0,81,2026-03-13
JOB00078,ML Engineer I,Entry,0.0,Horizon Cloud,Consulting,"Bengaluru, India",No,Full-time,"Excel, SQL, Data Visualization, Python, Statistics",5000+,26500.0,43,2026-07-03
JOB00079,Analytics Engineer,Mid,3.0,Bluewave Tech,Manufacturing,"San Francisco, USA",Yes,Full-time,"Power BI, SQL, Deep Learning, Machine Learning, PyTorch, Kubernetes",5000+,177500.0,10,2025-09-02
JOB00080,Machine Learning Engineer,Mid,3.0,Orbital Systems,Consulting,"San Francisco, USA",Yes,Full-time,"AWS, Machine Learning, NLP, TensorFlow",201-1000,173500.0,84,2025-09-13
JOB00081,ML Engineer I,Entry,0.0,DataForge,Gaming,"Berlin, Germany",No,Contract,"Excel, SQL, Tableau",1001-5000,61000.0,2,2025-09-07
JOB00082,AI Research Assistant,Entry,0.0,Novacore AI,E-commerce,"New York, USA",Yes,Full-time,"SQL, Python, Statistics, Tableau, Excel, LLMs",1001-5000,102000.0,11,2026-03-25
JOB00083,Lead Data Engineer,Senior,6.0,Nexora AI,E-commerce,"Austin, USA",No,Full-time,"Azure, Generative AI, NLP, MLOps, Deep Learning, Docker",201-1000,188500.0,15,2025-07-31
JOB00084,Senior Data Scientist,Senior,6.0,Orbital Systems,Education,"New York, USA",No,Full-time,"NLP, MLOps, Kubernetes, Data Visualization",1-50,227000.0,59,2026-02-13
JOB00085,AI Research Assistant,Entry,0.0,Zenith Data Group,Education,"Sydney, Australia",Yes,Full-time,"Data Visualization, Statistics, Tableau",5000+,83000.0,33,2026-05-22
JOB00086,Data Engineer,Mid,3.0,Northstar Labs,Consulting,"Bengaluru, India",Yes,Full-time,"NLP, Power BI, Machine Learning, Spark",1001-5000,45000.0,40,2026-02-19
JOB00087,AI Research Scientist,Senior,6.0,Zenith Data Group,Gaming,"London, UK",No,Full-time,"AWS, Kubernetes, Computer Vision, Generative AI, Azure, LLMs",1001-5000,177000.0,51,2026-02-18
JOB00088,Junior Data Scientist,Entry,0.0,Silverline AI,Gaming,"San Francisco, USA",No,Full-time,"Python, Excel, Statistics, Data Visualization",1001-5000,103500.0,31,2025-11-16
JOB00089,ML Engineer I,Entry,0.0,Pulse Robotics,Manufacturing,"London, UK",No,Full-time,"Excel, Statistics, Data Visualization",1001-5000,91500.0,9,2025-10-12
JOB00090,Junior Data Scientist,Entry,0.0,Nexora AI,Gaming,"Austin, USA",Yes,Full-time,"Statistics, Data Visualization, Python, Excel, Deep Learning",5000+,76000.0,25,2025-09-24
JOB00091,Head of Analytics,Manager,10.0,DataForge,Telecommunications,"San Francisco, USA",Yes,Full-time,"LLMs, Statistics, GCP, Generative AI, Data Visualization",51-200,247500.0,7,2025-10-15
JOB00092,NLP Engineer,Mid,3.0,Nexora AI,Finance,"London, UK",No,Full-time,"NLP, Machine Learning, Power BI, TensorFlow, SQL",5000+,103000.0,141,2025-11-03
JOB00093,Junior Data Scientist,Entry,0.0,Fusion Analytics,Gaming,"Sydney, Australia",Yes,Full-time,"Excel, Data Visualization, SQL, Statistics, Tableau",1-50,79500.0,58,2026-01-21
JOB00096,AI Research Assistant,Entry,0.0,Corelytics,Education,"Austin, USA",No,Full-time,"Statistics, Tableau, SQL, Excel",1-50,58500.0,46,2026-06-01
JOB00097,ML Engineer I,Entry,0.0,Atlas Intelligence,Manufacturing,"New York, USA",No,Full-time,"Excel, Tableau, Statistics",5000+,70500.0,17,2026-03-07
JOB00098,Data Engineer,Mid,3.0,Northstar Labs,Healthcare,"Berlin, Germany",Yes,Full-time,"PyTorch, TensorFlow, SQL, Generative AI",5000+,107500.0,46,2026-06-12
JOB00099,AI Engineer,Mid,3.0,Bright Path AI,Technology,"Toronto, Canada",Yes,Full-time,"AWS, Spark, Power BI, Machine Learning",201-1000,99500.0,154,2026-03-20
JOB00100,Analytics Engineer,Mid,3.0,DataForge,Automotive,"London, UK",No,Full-time,"Power BI, PyTorch, Deep Learning, NLP",5000+,107000.0,60,2025-07-24
JOB00101,AI Research Assistant,Entry,0.0,Skyline Data Co,Gaming,"Toronto, Canada",No,Full-time,"Data Visualization, Python, Tableau, Statistics",51-200,73000.0,92,2025-07-10
JOB00103,Analytics Engineer,Mid,3.0,Bright Path AI,Automotive,"London, UK",No,Full-time,"AWS, Spark, Python, SQL, Deep Learning",1-50,116500.0,76,2026-01-09
JOB00104,Junior Data Scientist,Entry,0.0,Corelytics,Gaming,"Austin, USA",Yes,Full-time,"Python, Tableau, SQL",51-200,63500.0,69,2025-12-16
JOB00105,Director of Data Science,Manager,10.0,Northstar Labs,Manufacturing,Remote,Yes,Full-time,"MLOps, AWS, LLMs, A/B Testing",51-200,195500.0,39,2026-07-12
JOB00106,Data Analyst,Entry,0.0,Vertex Analytics,E-commerce,"Berlin, Germany",No,Contract,"Tableau, SQL, Statistics, Python, PyTorch",1-50,48000.0,26,2026-07-05
JOB00107,AI Engineer,Mid,3.0,Nexora AI,Gaming,"Berlin, Germany",Yes,Full-time,"Deep Learning, Spark, NLP, Power BI, TensorFlow, MLOps",51-200,114500.0,50,2025-10-27
JOB00108,Computer Vision Engineer,Mid,3.0,DataForge,Technology,"London, UK",Yes,Full-time,"Spark, PyTorch, AWS, NLP",201-1000,114000.0,24,2026-03-13
JOB00109,Analytics Engineer,Mid,3.0,Zenith Data Group,E-commerce,"Austin, USA",Yes,Full-time,"Power BI, Python, SQL, NLP",201-1000,106500.0,137,2026-06-05
JOB00112,Junior Data Scientist,Entry,0.0,Zenith Data Group,Gaming,"Berlin, Germany",No,Full-time,"SQL, Tableau, Python, Data Visualization",201-1000,72500.0,41,2025-11-27
JOB00113,VP of Machine Learning,Manager,10.0,Atlas Intelligence,Education,"San Francisco, USA",No,Full-time,"AWS, Generative AI, Statistics, MLOps, Docker",201-1000,260500.0,67,2025-11-09
JOB00114,AI Research Assistant,Entry,0.0,Pulse Robotics,Manufacturing,"Toronto, Canada",No,Full-time,"Python, Statistics, Data Visualization, LLMs",5000+,58500.0,27,2025-12-28
JOB00115,Head of AI,Manager,10.0,Quantum Insight,Finance,"Berlin, Germany",Yes,Full-time,"AWS, Generative AI, GCP",201-1000,192500.0,51,2025-07-23
JOB00117,Data Engineer,Mid,3.0,Silverline AI,Education,"London, UK",No,Full-time,"AWS, TensorFlow, SQL, Spark",201-1000,127500.0,100,2026-05-15
JOB00118,BI Analyst,Entry,0.0,Quantum Insight,Gaming,"London, UK",Yes,Full-time,"Excel, Statistics, Tableau, SQL, Python",201-1000,83500.0,24,2025-12-05
JOB00119,AI Engineer,Mid,3.0,Corelytics,Consulting,"London, UK",No,Full-time,"NLP, Deep Learning, Machine Learning, Azure",5000+,135500.0,121,2026-07-09
JOB00120,Senior Data Scientist,Senior,6.0,Bright Path AI,Manufacturing,"Toronto, Canada",No,Full-time,"NLP, Deep Learning, Computer Vision",51-200,136000.0,24,2025-10-05
JOB00121,Senior Data Scientist,Senior,6.0,Orbital Systems,Automotive,Singapore,Yes,Full-time,"Deep Learning, Machine Learning, LLMs, Computer Vision",201-1000,177500.0,34,2025-10-02
JOB00122,Machine Learning Engineer,Mid,3.0,Orbital Systems,Automotive,"New York, USA",Yes,Full-time,"Python, Power BI, Spark, PyTorch, NLP",201-1000,123500.0,5,2025-08-13
JOB00123,Analytics Engineer,Mid,3.0,Ironpeak Tech,Automotive,"Austin, USA",Yes,Full-time,"AWS, Python, Deep Learning",1-50,146500.0,21,2026-05-12
JOB00124,Data Analyst,Entry,0.0,Nexora AI,Manufacturing,"Sydney, Australia",No,Contract,"Data Visualization, SQL, Tableau, Python, Excel",5000+,81000.0,7,2026-05-19
JOB00125,Data Scientist,Mid,3.0,Horizon Cloud,Finance,"Dublin, Ireland",Yes,Full-time,"Python, Spark, Machine Learning, Power BI",201-1000,103500.0,70,2026-01-20
JOB00126,Computer Vision Engineer,Mid,3.0,Horizon Cloud,Automotive,"Berlin, Germany",No,Full-time,"Python, AWS, Spark, Excel",51-200,82000.0,110,2025-10-24
JOB00127,Director of Data Science,Manager,10.0,Bluewave Tech,Healthcare,"Austin, USA",Yes,Full-time,"LLMs, MLOps, Statistics",1001-5000,230000.0,19,2026-04-12
JOB00128,Lead Data Engineer,Senior,6.0,Meridian Software,Telecommunications,"Sydney, Australia",Yes,Part-time,"MLOps, Deep Learning, NLP, AWS, Generative AI, Power BI",1001-5000,188000.0,89,2025-07-27
JOB00129,Data Scientist,Mid,3.0,Clearline Systems,E-commerce,Singapore,No,Full-time,"PyTorch, AWS, SQL, Deep Learning, Computer Vision",1-50,136500.0,48,2026-06-02
JOB00130,NLP Engineer,Mid,3.0,Novacore AI,Manufacturing,"London, UK",No,Full-time,"SQL, PyTorch, Python, MLOps",1001-5000,125000.0,26,2026-04-28
JOB00131,Analytics Engineer,Mid,3.0,Novacore AI,Education,"Bengaluru, India",No,Full-time,"Power BI, Machine Learning, TensorFlow, SQL",51-200,50500.0,31,2025-11-13
JOB00132,Machine Learning Engineer,Mid,3.0,Quantum Insight,Education,"Sydney, Australia",Yes,Full-time,"TensorFlow, Python, Power BI, AWS, Machine Learning, A/B Testing",201-1000,94500.0,60,2025-10-03
JOB00133,Data Engineer,Mid,3.0,Novacore AI,Telecommunications,"Dublin, Ireland",Yes,Part-time,"TensorFlow, Deep Learning, NLP, Spark, AWS",51-200,88000.0,53,2025-08-14
JOB00134,Computer Vision Engineer,Mid,3.0,Orbital Systems,Finance,"Berlin, Germany",No,Contract,"SQL, NLP, Python, Power BI, Statistics",51-200,103500.0,55,2025-09-26
JOB00135,AI Research Scientist,Senior,6.0,Nexora AI,Education,"Sydney, Australia",No,Full-time,"MLOps, Deep Learning, Azure, Kubernetes",1001-5000,145000.0,16,2026-05-23
JOB00136,Senior ML Engineer,Senior,6.0,Fusion Analytics,Telecommunications,Remote,Yes,Full-time,"Azure, Deep Learning, Kubernetes, Computer Vision, MLOps",51-200,151500.0,11,2026-06-20
JOB00137,Machine Learning Engineer,Mid,3.0,Fusion Analytics,E-commerce,"New York, USA",No,Full-time,"SQL, Python, Power BI, PyTorch",5000+,152500.0,6,2026-01-30
JOB00138,Machine Learning Engineer,Mid,3.0,Corelytics,Telecommunications,Singapore,Yes,Full-time,"Deep Learning, Machine Learning, AWS, NLP, Python",201-1000,91500.0,36,2025-10-27
JOB00139,Data Scientist,Mid,3.0,Meridian Software,Manufacturing,"Toronto, Canada",Yes,Full-time,"Deep Learning, SQL, Spark, Power BI",51-200,121500.0,42,2026-03-20
JOB00140,Senior Data Scientist,Senior,6.0,Corelytics,Healthcare,"London, UK",No,Full-time,"Generative AI, Machine Learning, LLMs",1001-5000,177000.0,20,2025-10-24
JOB00141,Machine Learning Engineer,Mid,3.0,Silverline AI,Healthcare,"Toronto, Canada",Yes,Full-time,"AWS, Power BI, PyTorch, Machine Learning, Python",1001-5000,103000.0,74,2026-06-11
JOB00142,Principal Data Scientist,Senior,6.0,Bluewave Tech,Technology,"New York, USA",No,Full-time,"Deep Learning, MLOps, Generative AI",5000+,180500.0,86,2026-04-17
JOB00143,Data Engineer I,Entry,0.0,Quantum Insight,Healthcare,"Bengaluru, India",No,Full-time,"SQL, Tableau, Python, Statistics, Data Visualization",201-1000,37500.0,75,2025-09-23
JOB00144,Machine Learning Engineer,Mid,3.0,Quantum Insight,Gaming,"Bengaluru, India",No,Full-time,"Machine Learning, PyTorch, NLP, SQL, Deep Learning",1-50,57000.0,76,2026-01-23
JOB00145,Computer Vision Engineer,Mid,3.0,Atlas Intelligence,Consulting,"San Francisco, USA",No,Full-time,"PyTorch, Spark, Power BI, TensorFlow",1001-5000,161000.0,16,2025-09-30
JOB00146,Data Analyst,Entry,0.0,DataForge,Consulting,"New York, USA",No,Full-time,"Data Visualization, Tableau, Statistics, LLMs",51-200,97500.0,17,2025-12-20
JOB00147,NLP Engineer,Mid,3.0,Atlas Intelligence,Automotive,"Berlin, Germany",No,Full-time,"AWS, PyTorch, Machine Learning, NLP, TensorFlow",1-50,89000.0,43,2026-01-22
JOB00148,Data Science Manager,Manager,10.0,Zenith Data Group,Gaming,"Berlin, Germany",No,Full-time,"Statistics, MLOps, AWS, Generative AI, GCP",51-200,270500.0,49,2025-08-15
JOB00149,Director of Data Science,Manager,10.0,DataForge,Automotive,"Bengaluru, India",No,Contract,"AWS, LLMs, GCP",1-50,103500.0,52,2026-03-03
JOB00150,Computer Vision Engineer,Mid,3.0,Skyline Data Co,Gaming,"New York, USA",No,Full-time,"NLP, Deep Learning, PyTorch, Power BI, Machine Learning",201-1000,147000.0,34,2025-07-28
JOB00151,BI Analyst,Entry,0.0,Silverline AI,Manufacturing,"London, UK",No,Full-time,"Data Visualization, Statistics, Excel, Tableau",5000+,76500.0,48,2026-02-04
JOB00152,Junior Data Scientist,Entry,0.0,Fusion Analytics,Telecommunications,"Toronto, Canada",No,Full-time,"Python, Statistics, Data Visualization, SQL",1-50,80000.0,33,2025-10-06
JOB00153,Data Engineer,Mid,3.0,Meridian Software,Manufacturing,"Berlin, Germany",No,Full-time,"SQL, Machine Learning, Python, AWS, LLMs",1-50,81000.0,4,2025-08-16
JOB00154,Data Engineer,Mid,3.0,Bluewave Tech,Finance,Singapore,Yes,Full-time,"Spark, NLP, SQL, Deep Learning, Python",51-200,129000.0,28,2026-02-02
JOB00155,ML Engineer I,Entry,0.0,Atlas Intelligence,E-commerce,"Sydney, Australia",No,Full-time,"Statistics, Python, Excel, Data Visualization, Tableau",1-50,65000.0,10,2025-09-10
JOB00156,Senior ML Engineer,Senior,6.0,Ironpeak Tech,Finance,"London, UK",No,Full-time,"Kubernetes, Computer Vision, AWS, Deep Learning",201-1000,148500.0,45,2026-04-07
JOB00157,NLP Engineer,Mid,3.0,Atlas Intelligence,Automotive,"San Francisco, USA",Yes,Part-time,"Deep Learning, AWS, Power BI, Machine Learning",201-1000,151500.0,120,2025-09-13
JOB00158,Data Analyst,Entry,0.0,Orbital Systems,Telecommunications,Singapore,Yes,Full-time,"SQL, Excel, Data Visualization",201-1000,55500.0,9,2025-10-25
JOB00159,Data Engineer,Mid,3.0,Clearline Systems,Technology,"Austin, USA",Yes,Full-time,"SQL, AWS, Power BI, GCP",5000+,140500.0,2,2026-05-03
JOB00160,Staff AI Engineer,Senior,6.0,Orbital Systems,E-commerce,"Dublin, Ireland",No,Full-time,"Generative AI, LLMs, Deep Learning",5000+,156000.0,34,2025-08-17
